class,TP,FP,FN,precision,recall,F1
bicycle,62,10,24,0.8611110991512347,0.72093022417523,0.7848096205739397
bus,55,32,16,0.6321839007794954,0.7746478764134103,0.6962020279606147
car,303,64,82,0.8256130767694466,0.7870129849687975,0.8058505619733465
motorbike,52,14,21,0.7878787759412307,0.7123287573653595,0.7482009293518155
person,827,223,242,0.7876190468689341,0.7736202050761269,0.7805563657502342
train,38,21,10,0.6440677856937663,0.7916666501736115,0.710279865840156
