size,TP,FP,FN,precision,recall,F1
small,113,0,99,0.9999999911504426,0.5330188654102884,0.6953841575008872
medium,443,353,151,0.5565326626174213,0.745791244535705,0.63740958158518
large,792,0,134,0.9999999987373738,0.8552915757502251,0.9220018302574503
