size,TP,FP,FN,precision,recall,F1
small,43,0,169,0.9999999767441866,0.2028301877224991,0.33725461893141
medium,369,305,225,0.5474777439948402,0.6212121201663096,0.5820184285174778
large,795,0,131,0.9999999987421384,0.8585313165674607,0.9238809660885889
